Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-02-01,The Godfather Part II,1974,https://boxd.it/cV4WnT,4.5,,,2025-08-10
2025-08-19,The Thing,1982,https://boxd.it/aMzmSr,4,,,2025-08-19
2025-08-19,The Fire Within,1963,https://boxd.it/aMEcvn,4.5,,,2025-08-19
2025-08-21,The Grand Budapest Hotel,2014,https://boxd.it/aNScYB,4.5,,,2025-08-20
2025-08-26,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/aRGLfD,5,,,2025-08-26
2025-08-28,Batman Begins,2005,https://boxd.it/aSBGSJ,4,Yes,,2025-08-27
2025-11-01,The Martian,2015,https://boxd.it/byBmbN,3,,,2025-08-28
2025-08-31,American History X,1998,https://boxd.it/aUXsY1,3,,,2025-08-31
2025-09-01,300,2006,https://boxd.it/aVyxFd,2.5,,,2025-08-31
2025-09-01,The Man Who Sleeps,1974,https://boxd.it/aVyOJ7,4,,,2025-08-31
2025-09-10,The Shining,1980,https://boxd.it/b1mf8v,4.5,Yes,,2025-09-09
2025-09-13,Black Swan,2010,https://boxd.it/b3g8JP,3.5,,,2025-09-13
2025-09-14,Zodiac,2007,https://boxd.it/b3NZ3N,4,,,2025-09-14
2025-09-16,Mommy,2014,https://boxd.it/b4ZNk1,4,,,2025-09-15
2025-09-17,Loving Vincent,2017,https://boxd.it/b5LfZl,4.5,,,2025-09-16
2025-09-26,Inside,2012,https://boxd.it/baL4xb,4,,,2025-09-17
2025-09-29,"Love, Death & Robots: Zima Blue",2019,https://boxd.it/bcTt7h,4.5,,,2025-09-24
2025-09-25,It has to be lived once and dreamed twice,2019,https://boxd.it/bauDlv,5,,,2025-09-25
2025-09-26,The Wild Pear Tree,2018,https://boxd.it/baQ6hp,4,,,2025-09-25
2025-09-26,Sound of Metal,2019,https://boxd.it/baQcIV,3.5,,,2025-09-25
2025-10-01,Schindler's List,1993,https://boxd.it/bdUrSV,4.5,,,2025-09-30
2025-10-09,Free Guy,2021,https://boxd.it/bj7nOB,2,,,2025-10-02
2025-10-03,Before Sunrise,1995,https://boxd.it/bfg9Gl,3.5,,,2025-10-03
2025-10-05,La La Land,2016,https://boxd.it/bgtPXN,4.5,Yes,,2025-10-04
2025-10-05,The Silence of the Lambs,1991,https://boxd.it/bgD5m7,4,,,2025-10-05
2025-10-06,Isle of Dogs,2018,https://boxd.it/bhHi7B,4.5,,,2025-10-06
2025-10-08,The Lighthouse,2019,https://boxd.it/biFF0D,4.5,,,2025-10-07
2025-10-09,My Father and My Son,2005,https://boxd.it/bj4PlV,4,,,2025-10-08
2025-10-11,Amélie,2001,https://boxd.it/bknnud,3,,,2025-10-09
2025-10-11,The Elephant Man,1980,https://boxd.it/bknYwF,4,,,2025-10-10
2025-10-12,Little Miss Sunshine,2006,https://boxd.it/bkZKlf,3,,,2025-10-11
2025-10-12,Hour of the Wolf,1968,https://boxd.it/bkZLj5,4,,,2025-10-12
2025-10-13,Casablanca,1942,https://boxd.it/bm8kJH,4.5,,,2025-10-13
2025-10-16,Into the Wild,2007,https://boxd.it/bnxqLj,3,,,2025-10-14
2025-10-18,Come and See,1985,https://boxd.it/boMMcz,5,,,2025-10-17
2025-10-19,Jaws,1975,https://boxd.it/bpBsQh,3.5,,,2025-10-19
2025-10-21,Fantastic Mr. Fox,2009,https://boxd.it/bqWfCn,4,,,2025-10-20
2025-10-21,"Love, Death & Robots: Zima Blue",2019,https://boxd.it/br1GhB,4.5,Yes,,2025-10-20
2025-10-24,The Hobbit: An Unexpected Journey,2012,https://boxd.it/bsSnOV,3.5,Yes,,2025-10-23
2025-10-24,The Hobbit: The Desolation of Smaug,2013,https://boxd.it/bsSosL,4,Yes,,2025-10-23
2025-10-24,The Hobbit: The Battle of the Five Armies,2014,https://boxd.it/bsSrsT,3.5,Yes,,2025-10-23
2025-11-01,Brokeback Mountain,2005,https://boxd.it/byAFfR,3.5,,,2025-11-01
2025-11-03,Home Alone 2: Lost in New York,1992,https://boxd.it/bAasSR,3,Yes,,2025-11-02
2025-11-03,Paths of Glory,1957,https://boxd.it/bAaL21,5,,,2025-11-02
2025-11-04,Fractured,2019,https://boxd.it/bB2RZ7,3,,,2025-11-04
2025-11-05,The Purge,2013,https://boxd.it/bBCZsd,2,,,2025-11-05
2025-11-06,Asteroid City,2023,https://boxd.it/bCgNQH,4,,,2025-11-06
2025-11-07,The Texas Chain Saw Massacre,1974,https://boxd.it/bCINdV,3.5,,,2025-11-07
2025-11-07,Texas Chainsaw Massacre,2022,https://boxd.it/bCJ4ij,0.5,,,2025-11-07
2025-11-07,Madagascar: Escape 2 Africa,2008,https://boxd.it/bCKfC7,2,,,2025-11-07
2025-11-07,Alien,1979,https://boxd.it/bCKxBV,4,,,2025-11-07
2025-11-08,The Face of Another,1966,https://boxd.it/bDlijB,5,Yes,,2025-11-08
2025-11-15,Anatomy of a Fall,2023,https://boxd.it/bHYSln,4,,,2025-11-10
2025-11-23,City of God,2002,https://boxd.it/bNWltN,4.5,,,2025-11-22
2025-11-23,The Dictator,2012,https://boxd.it/bO2S1p,1.5,,,2025-11-23
2025-11-24,Kill Bill: Vol. 1,2003,https://boxd.it/bOLnUX,4,Yes,,2025-11-24
2025-11-24,Kill Bill: Vol. 2,2004,https://boxd.it/bOLoPf,3.5,Yes,,2025-11-24
2025-11-24,Kill Bill: The Whole Bloody Affair,2004,https://boxd.it/bOLsiz,,Yes,,2025-11-24
2025-11-25,Society of the Snow,2023,https://boxd.it/bPlish,3.5,,,2025-11-24
2025-11-27,Free Solo,2018,https://boxd.it/bQSfWX,3,,,2025-11-27
2025-11-30,Saving Private Ryan,1998,https://boxd.it/bSLvyB,3.5,,,2025-11-30
2025-12-01,The Revenant,2015,https://boxd.it/bTaB1X,4,,,2025-11-30
